n_samples,correct
100,44
200,58
300,53.66666667
400,41
500,43.6
600,54.66666667
700,63.42857143
800,57.5
900,57.77777778
1000,49.7
1100,52
1200,59.08333333
1300,31.84615385
1400,56.28571429
1500,51.6
1600,53.9375
1700,38.58823529
1800,59.66666667
1900,52.94736842
2000,56.55
2100,45.80952381
2200,48.72727273
2300,56.26086957
2400,48.54166667
2500,52.12
2600,66.80769231
2700,58.2962963
2800,53.57142857
2900,34.37931034
3000,44.33333333
3100,62.5483871
3200,53.1875
3300,57
3400,50.73529412
3500,61.8
3600,56.80555556
3700,63.94594595
3800,56.07894737
3900,57.58974359
4000,57.8
4100,59.26829268
4200,55.23809524
4300,56.09302326
4400,57.43181818
4500,59.26666667
4600,43.89130435
4700,53.65957447
4800,61.83333333
4900,42.12244898
